date,country,league,type,season,home_team,away_team,home_score,away_score
08/08/2020,Europe,Champions League,CUP,2020/2021,Tre Fiori,Linfield,0,2
08/08/2020,Europe,Champions League,CUP,2020/2021,Drita,Inter Club d'Escaldes,2,1
18/08/2020,Europe,Champions League,CUP,2020/2021,Celtic,KR,6,0
18/08/2020,Europe,Champions League,CUP,2020/2021,Dinamo Brest,Astana,6,3
18/08/2020,Europe,Champions League,CUP,2020/2021,Crvena Zvezda,Europa FC,5,0
18/08/2020,Europe,Champions League,CUP,2020/2021,Legia Warszawa,Linfield,1,0
18/08/2020,Europe,Champions League,CUP,2020/2021,Qarabağ,Sileks,4,0
19/08/2020,Europe,Champions League,CUP,2020/2021,Dinamo Tbilisi,Tirana,0,2
19/08/2020,Europe,Champions League,CUP,2020/2021,Ararat-Armenia,Omonia Nicosia,0,1
19/08/2020,Europe,Champions League,CUP,2020/2021,Celje,Dundalk,3,0
19/08/2020,Europe,Champions League,CUP,2020/2021,Sheriff,Fola Esch,2,0
19/08/2020,Europe,Champions League,CUP,2020/2021,Ferencváros,Djurgården,2,0
19/08/2020,Europe,Champions League,CUP,2020/2021,Budućnost,Ludogorets,1,3
19/08/2020,Europe,Champions League,CUP,2020/2021,Floriana,CFR Cluj,0,2
19/08/2020,Europe,Champions League,CUP,2020/2021,Molde,KuPS,5,0
19/08/2020,Europe,Champions League,CUP,2020/2021,Flora,Sūduva,1,1
19/08/2020,Europe,Champions League,CUP,2020/2021,Maccabi Tel Aviv,Riga,2,0
19/08/2020,Europe,Champions League,CUP,2020/2021,Connah's Quay,Sarajevo,0,2
21/08/2020,Europe,Champions League,CUP,2020/2021,KÍ,Slovan Bratislava,3,0
25/08/2020,Europe,Champions League,CUP,2020/2021,PAOK,Beşiktaş,3,1
25/08/2020,Europe,Champions League,CUP,2020/2021,Tirana,Crvena Zvezda,0,1
26/08/2020,Europe,Champions League,CUP,2020/2021,Lokomotiva Zagreb,Rapid Vienna,0,1
26/08/2020,Europe,Champions League,CUP,2020/2021,Celje,Molde,1,2
26/08/2020,Europe,Champions League,CUP,2020/2021,Qarabağ,Sheriff,2,1
26/08/2020,Europe,Champions League,CUP,2020/2021,AZ Alkmaar,Viktoria Plzeň,3,1
26/08/2020,Europe,Champions League,CUP,2020/2021,Sūduva,Maccabi Tel Aviv,0,3
26/08/2020,Europe,Champions League,CUP,2020/2021,Celtic,Ferencváros,1,2
26/08/2020,Europe,Champions League,CUP,2020/2021,Young Boys,KÍ,3,1
26/08/2020,Europe,Champions League,CUP,2020/2021,Ludogorets,Midtjylland,0,1
26/08/2020,Europe,Champions League,CUP,2020/2021,Dinamo Brest,Sarajevo,2,1
26/08/2020,Europe,Champions League,CUP,2020/2021,Legia Warszawa,Omonia Nicosia,0,2
26/08/2020,Europe,Champions League,CUP,2020/2021,CFR Cluj,Dinamo Zagreb,2,2
15/09/2020,Europe,Champions League,CUP,2020/2021,PAOK,Benfica,2,1
15/09/2020,Europe,Champions League,CUP,2020/2021,Dynamo Kyiv,AZ Alkmaar,2,0
15/09/2020,Europe,Champions League,CUP,2020/2021,Gent,Rapid Vienna,2,1
16/09/2020,Europe,Champions League,CUP,2020/2021,Omonia Nicosia,Crvena Zvezda,1,1
16/09/2020,Europe,Champions League,CUP,2020/2021,Qarabağ,Molde,0,0
16/09/2020,Europe,Champions League,CUP,2020/2021,Midtjylland,Young Boys,3,0
16/09/2020,Europe,Champions League,CUP,2020/2021,Ferencváros,Dinamo Zagreb,2,1
16/09/2020,Europe,Champions League,CUP,2020/2021,Maccabi Tel Aviv,Dinamo Brest,1,0
22/09/2020,Europe,Champions League,CUP,2020/2021,Maccabi Tel Aviv,Salzburg,1,2
22/09/2020,Europe,Champions League,CUP,2020/2021,Slavia Praha,Midtjylland,0,0
22/09/2020,Europe,Champions League,CUP,2020/2021,Krasnodar,PAOK,2,1
23/09/2020,Europe,Champions League,CUP,2020/2021,Olympiakos Piraeus,Omonia Nicosia,2,0
23/09/2020,Europe,Champions League,CUP,2020/2021,Molde,Ferencváros,3,3
23/09/2020,Europe,Champions League,CUP,2020/2021,Gent,Dynamo Kyiv,1,2
29/09/2020,Europe,Champions League,CUP,2020/2021,Omonia Nicosia,Olympiakos Piraeus,0,0
29/09/2020,Europe,Champions League,CUP,2020/2021,Ferencváros,Molde,0,0
29/09/2020,Europe,Champions League,CUP,2020/2021,Dynamo Kyiv,Gent,3,0
30/09/2020,Europe,Champions League,CUP,2020/2021,PAOK,Krasnodar,1,2
30/09/2020,Europe,Champions League,CUP,2020/2021,Midtjylland,Slavia Praha,4,1
30/09/2020,Europe,Champions League,CUP,2020/2021,Salzburg,Maccabi Tel Aviv,3,1
20/10/2020,Europe,Champions League,CUP,2020/2021,Paris Saint Germain,Manchester United,1,2
20/10/2020,Europe,Champions League,CUP,2020/2021,Rennes,Krasnodar,1,1
20/10/2020,Europe,Champions League,CUP,2020/2021,Zenit,Club Brugge,1,2
20/10/2020,Europe,Champions League,CUP,2020/2021,Dynamo Kyiv,Juventus,0,2
20/10/2020,Europe,Champions League,CUP,2020/2021,Barcelona,Ferencváros,5,1
20/10/2020,Europe,Champions League,CUP,2020/2021,Chelsea,Sevilla,0,0
20/10/2020,Europe,Champions League,CUP,2020/2021,RB Leipzig,İstanbul Başakşehir,2,0
20/10/2020,Europe,Champions League,CUP,2020/2021,Lazio,Borussia Dortmund,3,1
21/10/2020,Europe,Champions League,CUP,2020/2021,Inter,Borussia M'gladbach,2,2
21/10/2020,Europe,Champions League,CUP,2020/2021,Olympiakos Piraeus,Olympique Marseille,1,0
21/10/2020,Europe,Champions League,CUP,2020/2021,Manchester City,Porto,3,1
21/10/2020,Europe,Champions League,CUP,2020/2021,Salzburg,Lokomotiv Moskva,2,2
21/10/2020,Europe,Champions League,CUP,2020/2021,Midtjylland,Atalanta,0,4
21/10/2020,Europe,Champions League,CUP,2020/2021,Ajax,Liverpool,0,1
21/10/2020,Europe,Champions League,CUP,2020/2021,Real Madrid,Shakhtar Donetsk,2,3
21/10/2020,Europe,Champions League,CUP,2020/2021,Bayern München,Atlético Madrid,4,0
27/10/2020,Europe,Champions League,CUP,2020/2021,Porto,Olympiakos Piraeus,2,0
27/10/2020,Europe,Champions League,CUP,2020/2021,Lokomotiv Moskva,Bayern München,1,2
27/10/2020,Europe,Champions League,CUP,2020/2021,Atalanta,Ajax,2,2
27/10/2020,Europe,Champions League,CUP,2020/2021,Olympique Marseille,Manchester City,0,3
27/10/2020,Europe,Champions League,CUP,2020/2021,Atlético Madrid,Salzburg,3,2
27/10/2020,Europe,Champions League,CUP,2020/2021,Borussia M'gladbach,Real Madrid,2,2
27/10/2020,Europe,Champions League,CUP,2020/2021,Shakhtar Donetsk,Inter,0,0
27/10/2020,Europe,Champions League,CUP,2020/2021,Liverpool,Midtjylland,2,0
28/10/2020,Europe,Champions League,CUP,2020/2021,Manchester United,RB Leipzig,5,0
28/10/2020,Europe,Champions League,CUP,2020/2021,Borussia Dortmund,Zenit,2,0
28/10/2020,Europe,Champions League,CUP,2020/2021,İstanbul Başakşehir,Paris Saint Germain,0,2
28/10/2020,Europe,Champions League,CUP,2020/2021,Ferencváros,Dynamo Kyiv,2,2
28/10/2020,Europe,Champions League,CUP,2020/2021,Sevilla,Rennes,1,0
28/10/2020,Europe,Champions League,CUP,2020/2021,Juventus,Barcelona,0,2
28/10/2020,Europe,Champions League,CUP,2020/2021,Club Brugge,Lazio,1,1
28/10/2020,Europe,Champions League,CUP,2020/2021,Krasnodar,Chelsea,0,4
03/11/2020,Europe,Champions League,CUP,2020/2021,Shakhtar Donetsk,Borussia M'gladbach,0,6
03/11/2020,Europe,Champions League,CUP,2020/2021,Manchester City,Olympiakos Piraeus,3,0
03/11/2020,Europe,Champions League,CUP,2020/2021,Real Madrid,Inter,3,2
03/11/2020,Europe,Champions League,CUP,2020/2021,Salzburg,Bayern München,2,6
03/11/2020,Europe,Champions League,CUP,2020/2021,Lokomotiv Moskva,Atlético Madrid,1,1
03/11/2020,Europe,Champions League,CUP,2020/2021,Midtjylland,Ajax,1,2
03/11/2020,Europe,Champions League,CUP,2020/2021,Porto,Olympique Marseille,3,0
03/11/2020,Europe,Champions League,CUP,2020/2021,Atalanta,Liverpool,0,5
04/11/2020,Europe,Champions League,CUP,2020/2021,Sevilla,Krasnodar,3,2
04/11/2020,Europe,Champions League,CUP,2020/2021,Ferencváros,Juventus,1,4
04/11/2020,Europe,Champions League,CUP,2020/2021,Barcelona,Dynamo Kyiv,2,1
04/11/2020,Europe,Champions League,CUP,2020/2021,Chelsea,Rennes,3,0
04/11/2020,Europe,Champions League,CUP,2020/2021,Zenit,Lazio,1,1
04/11/2020,Europe,Champions League,CUP,2020/2021,İstanbul Başakşehir,Manchester United,2,1
04/11/2020,Europe,Champions League,CUP,2020/2021,RB Leipzig,Paris Saint Germain,2,1
04/11/2020,Europe,Champions League,CUP,2020/2021,Club Brugge,Borussia Dortmund,0,3
24/11/2020,Europe,Champions League,CUP,2020/2021,Manchester United,İstanbul Başakşehir,4,1
24/11/2020,Europe,Champions League,CUP,2020/2021,Rennes,Chelsea,1,2
24/11/2020,Europe,Champions League,CUP,2020/2021,Lazio,Zenit,3,1
24/11/2020,Europe,Champions League,CUP,2020/2021,Borussia Dortmund,Club Brugge,3,0
24/11/2020,Europe,Champions League,CUP,2020/2021,Juventus,Ferencváros,2,1
24/11/2020,Europe,Champions League,CUP,2020/2021,Paris Saint Germain,RB Leipzig,1,0
24/11/2020,Europe,Champions League,CUP,2020/2021,Dynamo Kyiv,Barcelona,0,4
24/11/2020,Europe,Champions League,CUP,2020/2021,Krasnodar,Sevilla,1,2
25/11/2020,Europe,Champions League,CUP,2020/2021,Olympique Marseille,Porto,0,2
25/11/2020,Europe,Champions League,CUP,2020/2021,Liverpool,Atalanta,0,2
25/11/2020,Europe,Champions League,CUP,2020/2021,Olympiakos Piraeus,Manchester City,0,1
25/11/2020,Europe,Champions League,CUP,2020/2021,Atlético Madrid,Lokomotiv Moskva,0,0
25/11/2020,Europe,Champions League,CUP,2020/2021,Borussia M'gladbach,Shakhtar Donetsk,4,0
25/11/2020,Europe,Champions League,CUP,2020/2021,Inter,Real Madrid,0,2
25/11/2020,Europe,Champions League,CUP,2020/2021,Bayern München,Salzburg,3,1
25/11/2020,Europe,Champions League,CUP,2020/2021,Ajax,Midtjylland,3,1
01/12/2020,Europe,Champions League,CUP,2020/2021,Borussia M'gladbach,Inter,2,3
01/12/2020,Europe,Champions League,CUP,2020/2021,Olympique Marseille,Olympiakos Piraeus,2,1
01/12/2020,Europe,Champions League,CUP,2020/2021,Porto,Manchester City,0,0
01/12/2020,Europe,Champions League,CUP,2020/2021,Atlético Madrid,Bayern München,1,1
